"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000243135",15.1664611836553,-5.73202041634137,0.777684447706287,-7.37062497938267,1.69829966874294e-13,2.63529258942871e-11
"ENSG00000088926",175.053785369688,-6.31988624381521,0.858070562700804,-7.36522905986097,1.76842949892089e-13,2.6976043203878e-11
"ENSG00000268230",19.1406983627929,-4.0008754012698,0.544971979125856,-7.34143323788367,2.11318558438331e-13,3.16977837657496e-11
"ENSG00000103942",113.639241827945,-3.52378990211011,0.484133817857889,-7.27854525366883,3.3743904302568e-13,4.97860883152643e-11
"ENSG00000187546",116.247460417557,-4.40440774382211,0.608091140927238,-7.24300593675172,4.38847692517314e-13,6.37036973009004e-11
"ENSG00000182156",9.74251765984565,-5.57324980649009,0.773874258008944,-7.20175112275886,5.94441221625749e-13,8.49201745179641e-11
"ENSG00000133401",101.448980829719,1.89751766091318,0.265180906895805,7.15555913555554,8.33325553197913e-13,1.17186405918456e-10
"ENSG00000108001",14.6325973426684,3.50777420498875,0.493393082937012,7.10949205876192,1.16470802081749e-12,1.61267264420884e-10
"ENSG00000073734",195.252184586985,-4.86351707888814,0.684496988813861,-7.10524247493908,1.20111473968118e-12,1.63788373592888e-10
"ENSG00000244067",64.7820563798605,-5.6583126534488,0.796789086001486,-7.10139327063806,1.23505372443251e-12,1.65902739102875e-10
"ENSG00000123838",1988.89237059972,-5.34569203348733,0.755377428168017,-7.07684904810036,1.47469014521315e-12,1.95179578042917e-10
"ENSG00000198610",188.802457143862,-5.6912115229669,0.807763572434049,-7.04564023086294,1.8461068177517e-12,2.40796541445874e-10
"ENSG00000171236",1543.72902052971,-3.07925930037484,0.437730316446297,-7.03460369246008,1.99828149335108e-12,2.56921906287996e-10
"ENSG00000157103",148.278146812936,-4.07134343133809,0.58108311953735,-7.00647341912055,2.44399966264578e-12,3.09802774138198e-10
"ENSG00000110799",1544.06089516823,2.53375872313959,0.362644847380085,6.98688742290051,2.81051577614072e-12,3.51314472017591e-10
"ENSG00000172260",158.797465450921,3.47339019946979,0.497583790333878,6.98051316571054,2.94103797296884e-12,3.62593722694789e-10
"ENSG00000116690",210.311580455966,-5.56998041816123,0.799506733687668,-6.96677111457221,3.24297628448596e-12,3.94416034599643e-10
"ENSG00000268505",13.293659100655,3.87706288132497,0.563592171642701,6.87919931539237,6.01898975785978e-12,7.22278770943174e-10
"ENSG00000157765",17.3191965952223,-5.64982109552594,0.824041876295416,-6.85623056066693,7.07012379889381e-12,8.37251502500583e-10
"ENSG00000204583",16.9619474499254,-4.54134026019633,0.663480531725869,-6.84472270555284,7.6624147513541e-12,8.9560691898944e-10
"ENSG00000138315",158.537661292441,-3.50676589481549,0.51882210668062,-6.75909112133152,1.38860046695477e-11,1.60223130802474e-09
"ENSG00000231948",12.5009946650507,-4.89628670951023,0.725143889773311,-6.75215881780493,1.45661298951898e-11,1.65943251970517e-09
"ENSG00000213088",157.778735887564,3.41808336936399,0.507468292783566,6.73556046352199,1.63299238562038e-11,1.83711643382293e-09
"ENSG00000080293",16.8415781938413,-2.47787349882465,0.368174276978785,-6.73016463604661,1.6947122208055e-11,1.88301357867278e-09
"ENSG00000172156",124.96719521528,3.04380692268191,0.454700010000905,6.69409908892646,2.17004343687542e-11,2.38175499169253e-09
"ENSG00000171954",11.358636764817,-3.42877190776742,0.512811679226388,-6.68622039369298,2.29008061021551e-11,2.48321993878791e-09
"ENSG00000143627",102.198949494306,-3.32304138829482,0.498001278448444,-6.67275674200673,2.51042327299267e-11,2.68973922106358e-09
"ENSG00000143921",98.0066306408284,-4.93317147576766,0.742412364757424,-6.64478625349879,3.03657415734041e-11,3.21519616659573e-09
"ENSG00000119919",134.308003133772,4.19139372457839,0.634661729982396,6.60413812046717,3.99836619893582e-11,4.0692303845357e-09
"ENSG00000174473",18.2787834455657,4.32517820186449,0.654864452318652,6.60469229403201,3.98343851078915e-11,4.0692303845357e-09
"ENSG00000273259",11.9627214956011,-5.42287182634486,0.820796027678885,-6.60684462823255,3.92597688503214e-11,4.0692303845357e-09
"ENSG00000278967",14.3104745045002,-5.92939677557221,0.897959357527487,-6.60319058526065,4.02401671359642e-11,4.0692303845357e-09
"ENSG00000135929",1255.12420085804,-2.33119362975418,0.354686518680284,-6.57254647971419,4.94619398949803e-11,4.90875131553875e-09
"ENSG00000137731",11.0242528837172,-2.94064610903219,0.447448484285662,-6.57203278658288,4.96329299682251e-11,4.90875131553875e-09
"ENSG00000125430",132.035756597064,-2.4340162206837,0.371010787809354,-6.56049985784897,5.36277058719143e-11,5.24618861790466e-09
"ENSG00000259347",11.7054529135127,-3.84419202198683,0.592470961141375,-6.4884058023386,8.6749366563243e-11,8.39509998999126e-09
"ENSG00000169083",190.078496290526,-3.53274816481915,0.547086608122163,-6.45738373480767,1.06528535354392e-10,1.01995406190375e-08
"ENSG00000147003",19.4009640226801,-2.8985056787765,0.449107595753949,-6.45392263720361,1.0899146492325e-10,1.03255072032552e-08
"ENSG00000125735",105.671845595954,-2.44267997478713,0.379356916157169,-6.439002086824,1.20261547393938e-10,1.12745200681817e-08
"ENSG00000132677",7.06853923802148,-4.74755906736085,0.737829847206988,-6.43449039820286,1.2388826928884e-10,1.14947878721604e-08
"ENSG00000166347",1222.17064452932,-1.97303215289809,0.306769680385947,-6.43164001871312,1.26234420744018e-10,1.15929570071037e-08
"ENSG00000138075",99.788081727894,-4.831063047778,0.753241013266922,-6.41370154132332,1.42028136121649e-10,1.29116487383318e-08
"ENSG00000108342",10.1466606560334,4.34289003783281,0.679633174034257,6.39005010902235,1.65831403684564e-10,1.49248263316108e-08
"ENSG00000267391",16.7935994408566,-7.23336893834928,1.13240180193798,-6.38763460634748,1.684712963017e-10,1.50122937298545e-08
"ENSG00000165478",16.0560227883805,-5.07667794213249,0.79684001878717,-6.37101277852415,1.87783993846245e-10,1.65691759276099e-08
"ENSG00000134121",145.745801645318,3.41930128916793,0.537399677291158,6.36267834473482,1.98265614307612e-10,1.73241798909564e-08
